mtQoU2a1dXhNVSeoRj1dsB3cm9EHc6aQ7m	 OpenLongPosition	 1702	 mtCfguT9wTAUFWS2hPFSKTFfeep8p8Y15D	 ShortPosIncreased	 1710	 1702
mtQoU2a1dXhNVSeoRj1dsB3cm9EHc6aQ7m	 LongPosIncreased	 3403	 mojBPxTYUcVrxGBXRSr3EMec3xbiWZCDxL	 LongPosNettedPartly	 2441	 1701
mtMM8voZ2nq8rH6HDHQ69bKPFHrjCHTSVg	 ShortPosNettedPartly	 1809	 mrUGT1haNL3Ts6WErDdFWrXSxVvsQ3DLCi	 LongPosNettedPartly	 1488	 160
mmrE2QVeYzNEvEkkd3hCpg8n1cib6rEkuV	 ShortPosNettedPartly	 2757	 mrUGT1haNL3Ts6WErDdFWrXSxVvsQ3DLCi	 LongPosNetted	 0	 1488
mmrE2QVeYzNEvEkkd3hCpg8n1cib6rEkuV	 ShortPosNettedPartly	 956	 mrUGT1haNL3Ts6WErDdFWrXSxVvsQ3DLCi	 OpenShortPosition	 1801	 1801
mtQoU2a1dXhNVSeoRj1dsB3cm9EHc6aQ7m	 LongPosIncreased	 3801	 mu7AcybU4tqB7gZHNuPtXujfJDZ7uUiMeu	 LongPosNettedPartly	 650	 398
msYoosUUomA2khPGerSJwzqTxAEwLy8ry1	 ShortPosNettedPartly	 10	 mu7AcybU4tqB7gZHNuPtXujfJDZ7uUiMeu	 LongPosNetted	 0	 650
msYoosUUomA2khPGerSJwzqTxAEwLy8ry1	 ShortPosNetted	 0	 mu7AcybU4tqB7gZHNuPtXujfJDZ7uUiMeu	 OpenShortPosition	 10	 10
msYoosUUomA2khPGerSJwzqTxAEwLy8ry1	 OpenLongPosition	 29	 mu7AcybU4tqB7gZHNuPtXujfJDZ7uUiMeu	 ShortPosIncreased	 39	 29
mzKEAJe5BRteemGt25vXMUq4xmmaQJS95J	 LongPosIncreased	 1844	 mu7AcybU4tqB7gZHNuPtXujfJDZ7uUiMeu	 ShortPosIncreased	 164	 125
mrV8GuDs12Xrd9Vdt5o4Bz39Scv7XLy2iU	 OpenLongPosition	 559	 mu7AcybU4tqB7gZHNuPtXujfJDZ7uUiMeu	 ShortPosIncreased	 723	 559
mmrE2QVeYzNEvEkkd3hCpg8n1cib6rEkuV	 ShortPosNettedPartly	 664	 mn4Lxow4kXJFKDo9gGdPBWnYgJhqZfhfXw	 LongPosNettedPartly	 347	 292
mpW8FL7wje2X8pjJWSbd57a63pis2uXdk5	 ShortPosNettedPartly	 3096	 mn4Lxow4kXJFKDo9gGdPBWnYgJhqZfhfXw	 LongPosNetted	 0	 347
mpW8FL7wje2X8pjJWSbd57a63pis2uXdk5	 ShortPosNettedPartly	 1115	 mn4Lxow4kXJFKDo9gGdPBWnYgJhqZfhfXw	 OpenShortPosition	 1981	 1981
mjq2gyoG5tK9quxpkqGnzaTbDXmpWQkJ4H	 ShortPosNettedPartly	 4322	 n35jKmn6VHnDWC38yXnifrdXawdrCgp1Kw	 LongPosNettedPartly	 2220	 464
mjNp7RuzxtXsGeWyMcZwhQRSX27qAyxuA6	 OpenLongPosition	 929	 n35jKmn6VHnDWC38yXnifrdXawdrCgp1Kw	 LongPosNettedPartly	 1291	 929
